year,state,revenue,industry
2012,NSW,27041.00,mining
2013,NSW,25291.00,mining
2014,NSW,24048.00,mining
2015,NSW,24669.00,mining
2016,NSW,23483.00,mining
2017,NSW,27101.00,mining
2018,NSW,31901.00,mining
2019,NSW,37841.00,mining
2020,NSW,34041.00,mining
2012,NSW,78656.00,retail
2013,NSW,81772.00,retail
2014,NSW,88813.00,retail
2015,NSW,93698.00,retail
2016,NSW,97953.00,retail
2017,NSW,100640.00,retail
2018,NSW,103408.00,retail
2019,NSW,104842.00,retail
2020,NSW,111409.00,retail
2012,VIC,7165.00,mining
2013,VIC,8699.00,mining
2014,VIC,6862.00,mining
2015,VIC,6116.00,mining
2016,VIC,5121.00,mining
2017,VIC,5433.00,mining
2018,VIC,6414.00,mining
2019,VIC,6835.00,mining
2020,VIC,7589.00,mining
2012,VIC,64221.00,retail
2013,VIC,65574.00,retail
2014,VIC,69613.00,retail
2015,VIC,73320.00,retail
2016,VIC,76508.00,retail
2017,VIC,79270.00,retail
2018,VIC,83392.00,retail
2019,VIC,86222.00,retail
2020,VIC,86953.00,retail
2012,QLD,45084.00,mining
2013,QLD,36720.00,mining
2014,QLD,37513.00,mining
2015,QLD,37463.00,mining
2016,QLD,41175.00,mining
2017,QLD,56381.00,mining
2018,QLD,68107.00,mining
2019,QLD,77114.00,mining
2020,QLD,73328.00,mining
2012,QLD,53544.00,retail
2013,QLD,55900.00,retail
2014,QLD,57682.00,retail
2015,QLD,59585.00,retail
2016,QLD,61284.00,retail
2017,QLD,62074.00,retail
2018,QLD,63469.00,retail
2019,QLD,66423.00,retail
2020,QLD,73626.00,retail
2012,SA,5730.00,mining
2013,SA,5733.00,mining
2014,SA,6794.00,mining
2015,SA,6590.00,mining
2016,SA,6201.00,mining
2017,SA,5837.00,mining
2018,SA,6207.00,mining
2019,SA,7278.00,mining
2020,SA,8562.00,mining
2012,SA,17415.00,retail
2013,SA,17559.00,retail
2014,SA,18187.00,retail
2015,SA,19017.00,retail
2016,SA,19813.00,retail
2017,SA,20511.00,retail
2018,SA,21035.00,retail
2019,SA,21465.00,retail
2020,SA,23064.00,retail
2012,WA,111036.00,mining
2013,WA,107907.00,mining
2014,WA,124564.00,mining
2015,WA,116386.00,mining
2016,WA,95186.00,mining
2017,WA,103103.00,mining
2018,WA,119456.00,mining
2019,WA,148779.00,mining
2020,WA,177986.00,mining
2012,WA,31223.00,retail
2013,WA,32205.00,retail
2014,WA,32797.00,retail
2015,WA,33687.00,retail
2016,WA,34052.00,retail
2017,WA,34010.00,retail
2018,WA,33966.00,retail
2019,WA,34670.00,retail
2020,WA,38847.00,retail
2012,TAS,1111.00,mining
2013,TAS,1067.00,mining
2014,TAS,952.00,mining
2015,TAS,836.00,mining
2016,TAS,680.00,mining
2017,TAS,779.00,mining
2018,TAS,810.00,mining
2019,TAS,1008.00,mining
2020,TAS,1026.00,mining
2012,TAS,5111.00,retail
2013,TAS,5187.00,retail
2014,TAS,5550.00,retail
2015,TAS,5760.00,retail
2016,TAS,6042.00,retail
2017,TAS,6205.00,retail
2018,TAS,6457.00,retail
2019,TAS,6684.00,retail
2020,TAS,7409.00,retail
2012,NT,3710.00,mining
2013,NT,3889.00,mining
2014,NT,3775.00,mining
2015,NT,5431.00,mining
2016,NT,4791.00,mining
2017,NT,4890.00,mining
2018,NT,4914.00,mining
2019,NT,6934.00,mining
2020,NT,7255.00,mining
2012,NT,2877.00,retail
2013,NT,2953.00,retail
2014,NT,3080.00,retail
2015,NT,3092.00,retail
2016,NT,3124.00,retail
2017,NT,3125.00,retail
2018,NT,3145.00,retail
2019,NT,3117.00,retail
2020,NT,3434.00,retail
