Date,revenue by retail industry
1/01/2000,10794
1/02/2000,10115
1/03/2000,10930
1/04/2000,10610
1/05/2000,11053
1/06/2000,11675
1/07/2000,10605
1/08/2000,11191
1/09/2000,11447
1/10/2000,11664
1/11/2000,12128
1/12/2000,15567
1/01/2001,11612
1/02/2001,10625
1/03/2001,11941
1/04/2001,11577
1/05/2001,12076
1/06/2001,11749
1/07/2001,12039
1/08/2001,12205
1/09/2001,11949
1/10/2001,12798
1/11/2001,13359
1/12/2001,16744
1/01/2002,12836
1/02/2002,11392
1/03/2002,12729
1/04/2002,12456
1/05/2002,13218
1/06/2002,12551
1/07/2002,12943
1/08/2002,13262
1/09/2002,12888
1/10/2002,13799
1/11/2002,14418
1/12/2002,17801
1/01/2003,13636
1/02/2003,12068
1/03/2003,13290
1/04/2003,13348
1/05/2003,13897
1/06/2003,13284
1/07/2003,14005
1/08/2003,13933
1/09/2003,14056
1/10/2003,15189
1/11/2003,15455
1/12/2003,19384
1/01/2004,14935
1/02/2004,13589
1/03/2004,14601
1/04/2004,14552
1/05/2004,14685
1/06/2004,14679
1/07/2004,15155
1/08/2004,14732
1/09/2004,15204
1/10/2004,15769
1/11/2004,16018
1/12/2004,20298
1/01/2005,15067
1/02/2005,13694
1/03/2005,15129
1/04/2005,14743
1/05/2005,15001
1/06/2005,15160
1/07/2005,15339
1/08/2005,15299
1/09/2005,15436
1/10/2005,16003
1/11/2005,16521
1/12/2005,20955
1/01/2006,15615
1/02/2006,14231
1/03/2006,15869
1/04/2006,15619
1/05/2006,15959
1/06/2006,16107
1/07/2006,16215
1/08/2006,16402
1/09/2006,16349
1/10/2006,17156
1/11/2006,17800
1/12/2006,22143
1/01/2007,16855
1/02/2007,15331
1/03/2007,17318
1/04/2007,16514
1/05/2007,17100
1/06/2007,17184
1/07/2007,17437
1/08/2007,17802
1/09/2007,17604
1/10/2007,18530
1/11/2007,19307
1/12/2007,23834
1/01/2008,18201
1/02/2008,16791
1/03/2008,17808
1/04/2008,17543
1/05/2008,18184
1/06/2008,17478
1/07/2008,18391
1/08/2008,18198
1/09/2008,17885
1/10/2008,19145
1/11/2008,19479
1/12/2008,25184
1/01/2009,19385
1/02/2009,16854
1/03/2009,18928
1/04/2009,18849
1/05/2009,19398
1/06/2009,18903
1/07/2009,19361
1/08/2009,19157
1/09/2009,19030
1/10/2009,20295
1/11/2009,20840
1/12/2009,25959
1/01/2010,19792
1/02/2010,17432
1/03/2010,19490
1/04/2010,19032
1/05/2010,19534
1/06/2010,19339
1/07/2010,20232
1/08/2010,19861
1/09/2010,19916
1/10/2010,20575
1/11/2010,21164
1/12/2010,26599
1/01/2011,20064
1/02/2011,18079
1/03/2011,19934
1/04/2011,19833
1/05/2011,19888
1/06/2011,19738
1/07/2011,20420
1/08/2011,20388
1/09/2011,20476
1/10/2011,21183
1/11/2011,21864
1/12/2011,27425
1/01/2012,20530
1/02/2012,19071
1/03/2012,20868
1/04/2012,20029
1/05/2012,20873
1/06/2012,20878
1/07/2012,20965
1/08/2012,21352
1/09/2012,21040
1/10/2012,21850
1/11/2012,22680
1/12/2012,27676
1/01/2013,21511
1/02/2013,19300
1/03/2013,21411
1/04/2013,20601
1/05/2013,21481
1/06/2013,20985
1/07/2013,21474
1/08/2013,22024
1/09/2013,21552
1/10/2013,22854
1/11/2013,23771
1/12/2013,29138
1/01/2014,22961
1/02/2014,20295
1/03/2014,22386
1/04/2014,21976
1/05/2014,22620
1/06/2014,22061
1/07/2014,22917
1/08/2014,22898
1/09/2014,23057
1/10/2014,24333
1/11/2014,24794
1/12/2014,30426
1/01/2015,23925
1/02/2015,21240
1/03/2015,23584
1/04/2015,22813
1/05/2015,23533
1/06/2015,23294
1/07/2015,24016
1/08/2015,23824
1/09/2015,24009
1/10/2015,25447
1/11/2015,25784
1/12/2015,31923
1/01/2016,24753
1/02/2016,22735
1/03/2016,24517
1/04/2016,23976
1/05/2016,24144
1/06/2016,24165
1/07/2016,24564
1/08/2016,24591
1/09/2016,25064
1/10/2016,25975
1/11/2016,26781
1/12/2016,33100
1/01/2017,25306
1/02/2017,22615
1/03/2017,25114
1/04/2017,24583
1/05/2017,25133
1/06/2017,25168
1/07/2017,25279
1/08/2017,25275
1/09/2017,25349
1/10/2017,26397
1/11/2017,27707
1/12/2017,33639
1/01/2018,25896
1/02/2018,23301
1/03/2018,26218
1/04/2018,24883
1/05/2018,25954
1/06/2018,25827
1/07/2018,25936
1/08/2018,26341
1/09/2018,26064
1/10/2018,27408
1/11/2018,28609
1/12/2018,34361
1/01/2019,26748
1/02/2019,24049
1/03/2019,26661
1/04/2019,25937
1/05/2019,26708
1/06/2019,26312
1/07/2019,26602
1/08/2019,27105
1/09/2019,26584
1/10/2019,28143
1/11/2019,29522
1/12/2019,35192
1/01/2020,27323
1/02/2020,25428
1/03/2020,29159
1/04/2020,23620
1/05/2020,28181
1/06/2020,28568
1/07/2020,30008
1/08/2020,28564
1/09/2020,28336
1/10/2020,30318
1/11/2020,33100
1/12/2020,38830
1/01/2021,30129
1/02/2021,26758
1/03/2021,30311
1/04/2021,29247
1/05/2021,30193
1/06/2021,29407
1/07/2021,29149
